CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Clovis Hotels, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXf5QAG|||North American|West||||Active|99.665|
Hibernia Worldwide Hotels|Owner(M)|||0011I00000cJXf6QAG|||North American|SE||||Active|98.450|
Hotel Managers Group|Manager(F)|||0011I00000cJXf7QAG|||North American|West||||Active|99.500|
Roberts Companies (The)||||0011I00000cJXf8QAG|||North American|MW||||Inactive||
Evergreen Hospitality, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXf9QAG|||North American|West||||Active|99.443|
Kahler Hotels|Franchisee(F),Owner(F)|||0011I00000cJXfAQAW|||North American|MW||||Active|99.57B|
Pyramid Advisors, LLC (as Receiver)|Owner(F),Franchisee(F)|||0011I00000cJXfBQAW|||North American|NE||||Active||
Meander Hospitality Management, Inc.||||0011I00000cJXfCQAW|||North American|MW||||Inactive||
Radius Hospitality Management|Manager(F)|||0011I00000cJXfDQAW|||North American|MW||||Active|99.948|
SAI Lodging, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfEQAW|||North American|NE||||Active|99.956|
Spire Hospitality|Manager(F)|||0011I00000cJXfFQAW|||North American|MW||||Active|99.72C|
Avalon Hotel Group, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfGQAW|||North American|SoCent||||Active|99.949|
KNS Management,LLC|Manager(F)|||0011I00000cJXfHQAW|||North American|MidAtl||||Active|99.924|
Holladay Properties|Franchisee(F),Owner(F)|||0011I00000cJXfIQAW|||North American|MW||||Active|99.917|
Bona Building and Management Co. Ltd.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfJQAW|||North American|Canada||||Active|99.962|
AWS Properties, Inc.||||0011I00000cJXfKQAW|||North American|MW||||Inactive||
S & S Management|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXfLQAW|||North American|MW||||Active|99.6I1|
Granville Hospitality Group, LLC|Franchisee(F),Owner(F)|||0011I00000cJXfMQAW|||North American|West||||Active|99.509|
Itcan (Sault) Holdings Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfNQAW|||North American|Canada||||Active|99.478|
Elevation Hotel Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfOQAW|||North American|SoCent||||Active|99.34L|
Vornado Realty L.P.||||0011I00000cJXfPQAW|||North American|NE||||Inactive||
Hollypark Organization, Inc. (The)|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXgoQAG|||North American|Canada||||Active|99.00A|
Evolution Hospitality DO NOT ADD PROPERTIES||||0011I00000cJXgpQAG|||North American|West||||Inactive||
Ashford Hospitality Trust/Prudential||||0011I00000cJXgqQAG|||North American|SoCent||||Inactive||
Equity Group Investments, LLC||||0011I00000cJXgrQAG|||North American|MW||||Inactive||
Astana Property Management LLP|Owner(M)|||0011I00000cJXgsQAG|||International|Europe||||Active||
Naples Hotel Group, LLC|Manager(F)|||0011I00000cJXgtQAG|||North American|SE||||Active|99.745|
BPM & Company, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXguQAG|||North American|NE||||Active|99.79A|
Halifax Hospitality, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXgvQAG|||North American|SE||||Active|99.51A|
