prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aUbtUAE,Sheraton Manila Bay,MNLSB,Open,APEC,INTL,Sheraton Hotels,FS,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJSgGQAW,,
a1W1I000000aUevUAE,Courtyard by Marriott Kaifeng West,CGOKW,Pre-Opening,Greater China,INTL,Courtyard By Marriott,MSB,M,,,,,,,,0011I00000cJTafQAG,,
a1W1I000000aUoPUAU,Renaissance Amsterdam Schiphol Airport Hotel,AMSRA,Open,Europe,INTL,Renaissance Hotels & Resorts,FS,F,,,,,,,0011I00000cJTUXQA4,0011I00000cJTsEQAW,0011I00000cJTUXQA4,
a1W1I000000aUoSUAU,Courtyard by Marriott Ciudad Juarez,CJSCY,Open,CALA,INTL,Courtyard By Marriott,MSB,F,,,,,,,0011I00000cJVtPQAW,0011I00000cJVtPQAW,0011I00000cJVtPQAW,
a1W1I000000aUpGUAU,Le Méridien Dhaka,DACMD,Open,APEC,INTL,Le Méridien,FS,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJTmfQAG,,
a1W1I000000aUpHUAU,Le Méridien Thimphu,PBHMD,Open,APEC,INTL,Le Méridien,FS,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJVW1QAO,,
a1W1I000000aUpwUAE,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",HYDLC,Open,APEC,INTL,The Luxury Collection,Luxury,F,,,,,,,0011I00000cJUCrQAO,0011I00000cJUCrQAO,0011I00000cJUCrQAO,
a1W1I000000aUqZUAU,The St. Regis Sanya Yalong Bay Resort,SYXXR,Open,Greater China,INTL,St. Regis Hotels,Luxury,M,,,,,,,0011I00000cJTjcQAG,0011I00001GSvs8QAD,,
a1W1I000000aUqbUAE,The Westin Qingdao,TAOWI,Open,Greater China,INTL,Westin Hotels,FS,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJTrZQAW,,
a1W1I000000aUqcUAE,Le Méridien Shimei Bay Beach Resort & Spa,SYXMD,Open,Greater China,INTL,Le Méridien,FS,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJTznQAG,,
a1W1I000000aUrDUAU,"The Westin Lagunamar Ocean Resort Villas & Spa, Cancun",CUNLI,Open,CALA,INTL,Vistana,Other,F,,,,,,,0011I00000cJVa7QAG,0011I00000cJVa7QAG,0011I00000cJVa7QAG,
a1W1I000000aUrEUAU,The Westin Kierland Villas,PHXKW,Open,West,NALO,Vistana,Other,F,,,,,,,0011I00000cJVa7QAG,0011I00000cJVa7QAG,0011I00000cJVa7QAG,
a1W1I000000aUl0UAE,Marriott Riyadh Diplomatic Quarter,RUHDQ,Open,ME,INTL,Marriott Hotels & Resorts,FS,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJSvfQAG,,
a1W1I000000aUl1UAE,Marriott Executive Apartments Riyadh Diplomatic Quarter,RUHED,Open,ME,INTL,Marriott Executive Apartments,Other,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJSvfQAG,,
a1W1I000000aUl2UAE,"Marriott Vacation Club Pulse, San Diego",SANVA,Open,West,NALO,Marriott Vacation Club Intl,Other,F,,,,,,,0011I00000cJSLcQAO,0011I00000cJSLcQAO,0011I00000cJSLcQAO,
a1W1I000000aUm0UAE,Fairfield Inn & Suites Lufkin,,Pre-Opening,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJScgQAG,0011I00000cJUUUQA4,0011I00000cJUUUQA4,
a1W1I000000aUm1UAE,Marriott Huludao,JNZHU,Pre-Opening,Greater China,INTL,Marriott Hotels & Resorts,FS,M,,,,,,,,0011I00000cJV0gQAG,,
a1W1I000000aUm3UAE,The St. Regis Aruba Palm Beach,AUAXR,Pre-Opening,CALA,INTL,St. Regis Hotels,Luxury,M,,,,,,,,0011I00000cJUTIQA4,,
a1W1I000000aUmcUAE,The Ritz-Carlton Reserve Residences Morgan's Point,BDARR,Pre-Opening,CALA,INTL,The Ritz-Carlton,Luxury,M,,,,,,,0011I00000cJSGpQAO,0011I00000cJVNUQA4,,
a1W1I000000aUmdUAE,Fairfield Inn & Suites Aguascalientes,AGUFI,Open,CALA,INTL,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJSYAQA4,0011I00001F8I77QAF,0011I00001F8I77QAF,
a1W1I000000aUmeUAE,Le Méridien Cam Ranh Bay Resort & Spa,CXRMD,Pre-Opening,APEC,INTL,Le Méridien,FS,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJVrAQAW,,
a1W1I000000aUnLUAU,The Ritz-Carlton Montenegro,TIVRZ,Pre-Opening,Europe,INTL,The Ritz-Carlton,Luxury,M,,,,,,,0011I00000tT8JHQA0,0011I00000cJTl9QAG,,
a1W1I000000aUnMUAU,Courtyard by Marriott Culiacan Sinaloa,CULCY,Pre-Opening,CALA,INTL,Courtyard By Marriott,MSB,F,,,,,,,,0011I00000cJVRAQA4,,
a1W1I000000aUnNUAU,Fairfield Inn & Suites Tijuana,TIJFI,Open,CALA,INTL,Fairfield Inn & Suites,MSB,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJTePQAW,,
a1W1I000000aUo7UAE,Cappadocia Marriott Turkey,NAVMC,Pre-Opening,Europe,INTL,Marriott Hotels & Resorts,FS,F,,,,,,,0011I00000cJViLQAW,0011I00000cJViLQAW,0011I00000cJViLQAW,
a1W1I000000aUo9UAE,"AC Hotel Kingston, Jamaica",KINAR,Open,CALA,INTL,AC Hotels By Marriott,MSB,F,,,,,,,0011I00000cJTkTQAW,0011I00000cJTkTQAW,0011I00000cJTkTQAW,
a1W1I000000aUoUUAU,Residence Inn by Marriott London Bridge,LONRI,Open,Europe,INTL,Residence Inn By Marriott,MSB,F,,,,,,,0011I00001LM7gDQAT,0011I00000cJSzZQAW,0011I00000cJTwDQAW,
a1W1I000000aUpJUAU,Le Méridien Kochi,COKMD,Open,APEC,INTL,Le Méridien,FS,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJVWEQA4,,
a1W1I000000aUpyUAE,Sheraton Mendoza Hotel,MDZSI,Open,CALA,INTL,Sheraton Hotels,FS,F,,,,,,,0011I00000cJTlFQAW,0011I00000cJTlFQAW,0011I00000cJTlFQAW,
a1W1I000000aUpzUAE,Aloft Zhengzhou Shangjie,CGOSL,Open,Greater China,INTL,Aloft Hotels,MSB,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJVqgQAG,,
a1W1I000000aUq0UAE,Sheraton Poznan Hotel,POZSI,Open,Europe,INTL,Sheraton Hotels,FS,M,,,,,,,0011I00000cJUGAQA4,0011I00000cJTlIQAW,,
a1W1I000000aUqdUAE,Sheraton Sanya Haitang Bay Resort,SYXHS,Open,Greater China,INTL,Sheraton Hotels,FS,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJTy0QAG,,
a1W1I000000aUqfUAE,Le Méridien Bora Bora,BOBMD,Open,West,NALO,Le Méridien,FS,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJSuZQAW,,
a1W1I000000aUrIUAU,Sheraton Buganvilias Resort & Convention Center,PVRSI,Open,CALA,INTL,Sheraton Hotels,FS,F,,,,,,,0011I00000cJTpAQAW,0011I00000cJTpAQAW,0011I00000cJTpAQAW,
a1W1I000000aUrJUAU,The St. Regis Rome,ROMXR,Open,Europe,INTL,St. Regis Hotels,Luxury,M,,,,,,,0011I00000cJUGAQA4,0011I00000cJVquQAG,,
